,A. Arabadjiev,A. Kumin,A. Prechal,A. Rosas,C. Lycourgos,C. Toader,D. Gratsias,D. Šváby,E. Juhász,E. Regan,F. Biltgen,I. Jarukaitis,I. Ziemele,J. Malenovský,J. Passer,J.-C. Bonichot,K. Jürimäe,K. Lenaerts,L. Bay Larsen,L.S. Rossi,M. Condinanzi,M. Gavalec,M. Ilešič,M. Safjan,M. Vilaras,M.L. Arastey Sahún,N. Jääskinen,N. Piçarra,N. Wahl,O. Spineanu-Matei,P.G. Xuereb,R. Frendo,R. Silva de Lapuerta,S. Gervasoni,S. Rodin,T. von Danwitz,Z. Csehi
A. Arabadjiev,21,15,3,0,5,0,0,3,2,3,3,3,13,0,1,4,3,8,7,5,1,2,6,3,2,0,5,2,5,2,16,1,3,0,4,12,2
A. Kumin,15,23,1,0,4,0,0,0,0,3,2,2,20,0,2,3,2,10,8,4,0,2,4,1,0,2,6,2,5,3,13,0,0,1,1,16,2
A. Prechal,3,1,7,0,4,0,2,2,1,0,5,1,2,1,3,2,4,5,3,6,0,1,4,2,2,1,2,1,5,1,3,0,2,0,3,1,1
A. Rosas,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0
C. Lycourgos,5,4,4,1,17,1,3,2,3,7,6,4,4,0,4,11,8,11,7,11,0,3,9,3,2,2,6,3,6,8,4,0,3,0,10,4,3
C. Toader,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0
D. Gratsias,0,0,2,0,3,0,7,0,0,4,3,5,2,0,2,1,3,3,2,2,0,1,4,1,0,2,2,1,1,1,1,0,0,0,2,1,5
D. Šváby,3,0,2,0,2,0,0,4,2,1,2,1,0,1,0,1,2,3,1,2,0,0,3,3,3,0,0,1,1,0,3,0,3,0,3,1,0
E. Juhász,2,0,1,0,3,0,0,2,3,2,2,1,0,0,0,1,2,2,0,1,0,0,3,1,1,0,0,1,1,0,2,0,2,0,2,0,0
E. Regan,3,3,0,0,7,0,4,1,2,10,2,7,2,0,2,3,3,6,3,3,0,2,9,1,0,1,4,2,3,2,2,0,1,0,2,3,5
F. Biltgen,3,2,5,1,6,1,3,2,2,2,10,2,3,1,3,3,6,7,3,6,0,1,3,4,2,2,3,3,5,1,4,0,3,1,6,4,1
I. Jarukaitis,3,2,1,0,4,0,5,1,1,7,2,11,2,0,2,0,2,5,1,3,1,0,7,2,1,1,4,2,2,0,3,1,1,0,3,3,4
I. Ziemele,13,20,2,0,4,0,2,0,0,2,3,2,25,0,4,1,4,9,7,2,0,1,3,0,0,3,6,2,3,1,15,0,0,1,1,15,0
J. Malenovský,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
J. Passer,1,2,3,0,4,0,2,0,0,2,3,2,4,0,5,1,4,4,3,3,0,0,3,0,0,1,4,2,4,0,2,0,0,0,1,1,0
J.-C. Bonichot,4,3,2,1,11,1,1,1,1,3,3,0,1,0,1,14,4,7,6,10,0,3,4,4,1,1,4,1,3,10,1,0,2,0,8,3,3
K. Jürimäe,3,2,4,1,8,1,3,2,2,3,6,2,4,0,4,4,19,10,5,4,0,10,5,9,2,3,15,14,4,1,4,0,3,0,5,2,1
K. Lenaerts,8,10,5,1,11,1,3,3,2,6,7,5,9,0,4,7,10,21,9,8,0,5,9,6,3,4,11,6,7,4,6,0,4,0,7,10,3
L. Bay Larsen,7,8,3,1,7,1,2,1,0,3,3,1,7,1,3,6,5,9,13,5,0,3,5,4,2,1,6,2,5,3,5,0,1,0,2,3,3
L.S. Rossi,5,4,6,0,11,0,2,2,1,3,6,3,2,1,3,10,4,8,5,17,0,3,6,3,2,1,5,3,8,10,5,0,2,0,9,4,3
M. Condinanzi,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
M. Gavalec,2,2,1,0,3,0,1,0,0,2,1,0,1,0,0,3,10,5,3,3,0,17,2,8,0,2,15,13,2,3,0,0,0,0,1,2,3
M. Ilešič,6,4,4,0,9,0,4,3,3,9,3,7,3,0,3,4,5,9,5,6,0,2,13,2,2,0,5,3,6,2,5,0,3,0,3,3,5
M. Safjan,3,1,2,1,3,1,1,3,1,1,4,2,0,1,0,4,9,6,4,3,0,8,2,14,3,1,8,9,1,1,3,0,3,0,5,3,1
M. Vilaras,2,0,2,1,2,1,0,3,1,0,2,1,0,1,0,1,2,3,2,2,0,0,2,3,4,0,0,0,1,0,2,0,3,0,3,2,0
M.L. Arastey Sahún,0,2,1,0,2,0,2,0,0,1,2,1,3,0,1,1,3,4,1,1,0,2,0,1,0,5,2,1,0,1,0,0,0,0,2,3,1
N. Jääskinen,5,6,2,0,6,0,2,0,0,4,3,4,6,0,4,4,15,11,6,5,1,15,5,8,0,2,25,17,6,2,3,1,0,0,2,5,2
N. Piçarra,2,2,1,0,3,0,1,1,1,2,3,2,2,0,2,1,14,6,2,3,0,13,3,9,0,1,17,19,3,0,4,0,1,0,2,1,0
N. Wahl,5,5,5,0,6,0,1,1,1,3,5,2,3,1,4,3,4,7,5,8,0,2,6,1,1,0,6,3,9,2,4,0,1,0,2,3,2
O. Spineanu-Matei,2,3,1,0,8,0,1,0,0,2,1,0,1,0,0,10,1,4,3,10,0,3,2,1,0,1,2,0,2,11,0,0,0,0,6,3,3
P.G. Xuereb,16,13,3,0,4,0,1,3,2,2,4,3,15,0,2,1,4,6,5,5,0,0,5,3,2,0,3,4,4,0,20,0,3,0,4,11,0
R. Frendo,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
R. Silva de Lapuerta,3,0,2,1,3,1,0,3,2,1,3,1,0,0,0,2,3,4,1,2,0,0,3,3,3,0,0,1,1,0,3,0,4,0,4,2,0
S. Gervasoni,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
S. Rodin,4,1,3,1,10,1,2,3,2,2,6,3,1,0,1,8,5,7,2,9,0,1,3,5,3,2,2,2,2,6,4,0,4,0,12,4,1
T. von Danwitz,12,16,1,1,4,1,1,1,0,3,4,3,15,0,1,3,2,10,3,4,0,2,3,3,2,3,5,1,3,3,11,0,2,1,4,21,2
Z. Csehi,2,2,1,0,3,0,5,0,0,5,1,4,0,0,0,3,1,3,3,3,0,3,5,1,0,1,2,0,2,3,0,0,0,0,1,2,7
